Rank,Employer,Number of LCA,Average Salary
1,Amazon.Com Services,10969,149812.0
2,Cognizant Technology Solutions,8688,101773.0
3,Ernst & Young,8674,143378.0
4,Tata Consultancy Services,8120,105529.0
5,Google,7649,178184.0
6,Microsoft,6649,163672.0
7,Infosys,4926,103102.0
8,Meta Platforms,4566,199944.0
9,Intel,3242,145250.0
10,Hcl America,3059,104848.0
11,Amazon Web Services,2937,147451.0
12,IBM,2921,140091.0
13,Jpmorgan Chase,2812,149995.0
14,Walmart,2788,158095.0
15,Apple,2552,202303.0
16,Accenture,2511,195369.0
17,Capgemini,2313,123579.0
18,Ltimindtree,2310,108592.0
19,Deloitte Consulting,2111,139579.0
20,Salesforce,1909,186106.0
21,Qualcomm,1865,159292.0
22,Tesla,1733,147929.0
23,Amazon Development Center,1694,157620.0
24,Wipro,1685,93146.0
25,Fidelity Technology Group,1406,132473.0
26,Tech Mahindra,1224,103525.0
27,Compunnel Software Group,1221,122078.0
28,Deloitte Touche,1218,91856.0
29,Mphasis,1201,115641.0
30,Nvidia,1088,213634.0
31,Adobe,1085,183644.0
32,Bytedance,953,206887.0
33,"Goldman, Sachs",943,139648.0
34,Cisco,929,167966.0
35,Linkedin,900,206779.0
36,Pricewaterhousecoopers Advisory Services,853,164397.0
37,Paypal,812,161260.0
38,Ebay,798,170366.0
39,Servicenow,728,155359.0
40,Visa USA,723,166318.0
41,Persistent Systems,707,102270.0
42,Amazon Data Services,688,142437.0
43,Cummins,688,108634.0
44,Lt Technology Services,663,104126.0
45,Citibank,662,155016.0
46,Oracle America,649,167565.0
47,Ust Global,622,102043.0
48,Uber,612,182748.0
49,Deloitte Tax,611,82408.0
50,AMD,606,168513.0
51,Randstad Digital,596,128151.0
52,Mckinsey,584,184345.0
53,Cgi Technologies And Solutions,573,115076.0
54,Hexaware Technologies,558,101002.0
55,Kforce,549,139009.0
56,Ford Motor,542,143472.0
57,Rivian Automotive,539,153577.0
58,General Motors,537,128029.0
59,Boston Consulting,521,197174.0
60,Hewlett Packard Enterprise,509,183745.0
61,University Of Michigan,499,79734.0
62,Morgan Stanley Services Group,496,152717.0
63,Tiktok,489,205468.0
64,Atos Syntel,488,99492.0
65,Synechron,483,110287.0
66,Grandison Management,477,70505.0
67,Comcast Cable Communications,471,140865.0
68,Virtusa,462,109539.0
69,Lucid,460,164670.0
70,Barclays Services,460,153006.0
71,Goldman Sachs Services,455,141715.0
72,Elevance Health,452,134288.0
73,Western Digital Technologies,445,140549.0
74,Coruscent,429,158418.0
75,Dfs Corporate Services,420,131662.0
76,Optum Services,419,149040.0
77,Mayo Clinic Rochester,405,132148.0
78,Intuit,403,182366.0
79,Bank Of America,400,150277.0
80,American Express Travel,398,153976.0
81,Fis Management Services,395,132947.0
82,US Bank National Association,394,137969.0
83,Doordash,389,196228.0
84,Johns Hopkins University,389,92379.0
85,Yale University,386,113672.0
86,Amgen,382,126702.0
87,People Tech Group.,379,106316.0
88,Vmware,376,199835.0
89,Credit Suisse Securities Usa,375,142047.0
90,Caremark,373,134968.0
91,Wells Fargo Bank,369,166865.0
92,Palo Alto Networks,367,194098.0
93,Applied Materials,364,156823.0
94,Mastech Digital Technologies,357,108121.0
95,"The Leland Stanford, Jr University",356,94740.0
96,Cloud Big Data Technologies,356,81904.0
97,"Micron Technology, Utah",352,129916.0
98,Milwaukee Board Of School Directors,351,78164.0
99,The Mathworks,350,145524.0
100,Group Pai,350,141159.0
101,KPMG,343,150687.0
102,Tmobile,341,141712.0
103,Fiserv Solutions,340,151168.0
104,University Of Pittsburgh Physicians,336,147536.0
105,Capital One Services,335,173513.0
106,Washington University In St. Louis,335,93331.0
107,3d Technologies,335,81485.0
108,Charles Schwab,332,149128.0
109,Artifint Technologies,331,82356.0
110,Dell,330,152429.0
111,Vcloud Technology Group,325,82892.0
112,Expedia,323,158445.0
113,Machine Learning Technologies,322,78470.0
114,Charter Communications,321,133459.0
115,Emory University,319,100664.0
116,Blockchain Technologies,318,82349.0
117,CVS,317,138423.0
118,Snap,315,178735.0
119,CitiusTech,315,102363.0
120,Htc Global Services,314,99008.0
121,Infocons,310,95625.0
122,Automation Technologies,308,82953.0
123,Bloomberg,306,214189.0
124,Medtronic,306,120131.0
125,University Of Alabama At Birmingham,304,107069.0
126,Innova Solutions,303,114337.0
127,"University Of California, San Francisco",300,109793.0
128,Columbia University,298,95324.0
