Rank,Employer,Number of LCA,Average Salary
1,Amazon.Com Services,"10,969","$149,812"
2,Cognizant Technology Solutions,"8,688","$101,773"
3,Ernst & Young,"8,674","$143,378"
4,Tata Consultancy Services,"8,120","$105,529"
5,Google,"7,649","$178,184"
6,Microsoft,"6,649","$163,672"
7,Infosys,"4,926","$103,102"
8,Meta Platforms,"4,566","$199,944"
9,Intel,"3,242","$145,250"
10,Hcl America,"3,059","$104,848"
11,Amazon Web Services,"2,937","$147,451"
12,IBM,"2,921","$140,091"
13,Jpmorgan Chase,"2,812","$149,995"
14,Walmart,"2,788","$158,095"
15,Apple,"2,552","$202,303"
16,Accenture,"2,511","$195,369"
17,Capgemini,"2,313","$123,579"
18,Ltimindtree,"2,310","$108,592"
19,Deloitte Consulting,"2,111","$139,579"
20,Salesforce,"1,909","$186,106"
21,Qualcomm,"1,865","$159,292"
22,Tesla,"1,733","$147,929"
23,Amazon Development Center,"1,694","$157,620"
24,Wipro,"1,685","$93,146"
25,Fidelity Technology Group,"1,406","$132,473"
26,Tech Mahindra,"1,224","$103,525"
27,Compunnel Software Group,"1,221","$122,078"
28,Deloitte Touche,"1,218","$91,856"
29,Mphasis,"1,201","$115,641"
30,Nvidia,"1,088","$213,634"
31,Adobe,"1,085","$183,644"
32,Bytedance,953,"$206,887"
33,"Goldman, Sachs",943,"$139,648"
34,Cisco,929,"$167,966"
35,Linkedin,900,"$206,779"
36,Pricewaterhousecoopers Advisory Services,853,"$164,397"
37,Paypal,812,"$161,260"
38,Ebay,798,"$170,366"
39,Servicenow,728,"$155,359"
40,Visa USA,723,"$166,318"
41,Persistent Systems,707,"$102,270"
42,Amazon Data Services,688,"$142,437"
43,Cummins,688,"$108,634"
44,Lt Technology Services,663,"$104,126"
45,Citibank,662,"$155,016"
46,Oracle America,649,"$167,565"
47,Ust Global,622,"$102,043"
48,Uber,612,"$182,748"
49,Deloitte Tax,611,"$82,408"
50,AMD,606,"$168,513"
51,Randstad Digital,596,"$128,151"
52,Mckinsey,584,"$184,345"
53,Cgi Technologies And Solutions,573,"$115,076"
54,Hexaware Technologies,558,"$101,002"
55,Kforce,549,"$139,009"
56,Ford Motor,542,"$143,472"
57,Rivian Automotive,539,"$153,577"
58,General Motors,537,"$128,029"
59,Boston Consulting,521,"$197,174"
60,Hewlett Packard Enterprise,509,"$183,745"
61,University Of Michigan,499,"$79,734"
62,Morgan Stanley Services Group,496,"$152,717"
63,Tiktok,489,"$205,468"
64,Atos Syntel,488,"$99,492"
65,Synechron,483,"$110,287"
66,Grandison Management,477,"$70,505"
67,Comcast Cable Communications,471,"$140,865"
